Ref,Val,Package,PosX,PosY,Rot,Side
"C15","100p","C_0805_2012Metric",139.750000,-105.600000,180.000000,top
"J1","FTSH-105-01-F-DV-P-TR","SAMTEC_FTSH-105-01-F-DV-P-TR",163.372500,-97.735000,90.000000,top
"J3","Conn_02x06_Counter_Clockwise","Hirose_DF11-12DP-2DSA_2x06_P2.00mm_Vertical",138.945000,-109.400000,0.000000,top
"R5","1.5k","R_0805_2012Metric",139.737500,-103.500000,0.000000,top
"R6","10k","R_0805_2012Metric",163.387500,-102.500000,180.000000,top
"R7","10k","R_0805_2012Metric",163.137500,-93.025000,180.000000,top
"U7","XIAO-SAMD21-SMD","XIAO-SAMD21-SMD",136.900000,-96.500000,0.000000,top
